REFID	TITLE	SUBTITLE	AUTHORS	COVER	YEAR1STPUB
9531	Combatting Racism in the Workplace	A Course for Workers	Thomas, Barb; Novogrodsky, Charles	BC9531-CombattingRacism.jpg	1983
9532	Electric Empire: The Inside Story of Ontario Hydro	The Inside Story of Ontario Hydro	McKay, Paul	BC9532s-ElectricEmpire.jpg	
9533	Getting Started on Social Analysis in Canada.		Czerny, Michael	BC8166-GettingStarted.jpg	1984
9535	A Popular Education Handbook		Arnold, Rick and Burke, Bev	BC9535-APopularEducation.jpg	1983
9544	Starting a Worker Co-operative	An Introduction	Quarter, Jack (co-ordinator and editor)	BC9544-StartingAWorkerCoop.jpg	1985
9548	First Contract	Women and the Fight to Unionize	Conde, Carol, Beveridge, Karl	BC9548s-FirstContract.jpg	1986
9550	Strategies for Canadian Economic Self-Reliance	Alternative Paths to Jobs, Development, Equality and Peace	Bradfield, M.;  Dillon, J.;  Gindin, Sam;  Lockhart, A.	BC9550s-StrategiesCanadians.jpg	1985
9552	Working Collectively		Women's Self-Help Network for Change	BC9552-WorkingCollectively.jpg	1984
9554	The Real Pushers	A Critical Analysis of the Canadian Drug Industry	Lexchin, Joel	BC9554s-RealPushers.jpg	1984
9556	Whole Again Resource Guide	1986/1987 Edition. A Periodical and Resource Directory.	Ryan, Tim,  Case, Patricia J.	BC9556s-WholeAgain.jpg	1986
9559	The Great Lakes Primer		Cooper, Kathy; Millyard, Kai	BC9559-TheGreatLakesp.jpg	1986
9560	Managing Wastes	A Guide to Citizens' Involvement	Jackson, John,  Wallace, Barbara	BC9560-ManagingWastes.jpg	1985
9562	A Citizen Legislature		Callenbach, Ernest; Phillips, Michael	BC9562-CitizenLegislat.jpg	1985
9563	Indian Giver	A Legacy of North American Native Peoples	Lowes, Warren	BC9563-IndianGiver.jpg	1986
9568	Atlas of Great Lakes Indian History		Tanner, Helen Hornbeck (ed): Cartography by Miklos Pinther	BC9568-AtlasGreatLakes.jpg	1987
9571	The Natural History of Canada		Lawrence, R.D.	BC9571-ANaturalHistoryCa.jpg	1988
9574	Good Girls, Bad Girls	Sex Trade Workers and Feminists Face to Face	Bell Laurie	BC9574s-GoodGirlsBadGirls.jpg	1987
9576	Social Movements/Social Change	The Politics and Practice of Organizing - Socialist Studies 4	Cunningham, Frank; Findlay, Sue; Kadar, Marlene, et.al.	BC1513-SocialMovements.jpg	1988
9578	Choices	A Family Global Action Handbook	McConkey, David	BC9578-ChoicesHandbook.jpg	1987
9579	Business Guide To Promotion		Miller, Marlene	BC9579-BusinessGuidePromo.jpg	1988
9580	Looking Good In Print	A Guide to Basic Design for Desktop Publishing.	Parker, Roger C.	BC9580-LookingGoodinPrint.jpg	1988
9581	Design for Desktop Publishing	A Guide to Layout and Typography on the Personal Computer	Miles, John	BC9581-DesignforDesktopPub.jpg	1987
9583	Canada: A Natural History		Livingston, John; Fitzharris, Tim	BC9583-ANaturalHistVikingS.jpg	1988
9586	The Sixties	Years of Hope, Days of Rage	Gitlin, Todd	BC9586-TheSixtiesYears.jpg	1987
9587	Democracy is in the Streets	From Port Huron to the Siege of Chicago	Miller, James	BC9587-DemocracyInTheStre.jpg	1987
9588	Revelations	Essays on Striptease and Sexuality	Dragu, Margaret, and Harrison, A.S.A.	BC9588-EssaysStriptease.jpg	1988
9592	A Green City Program	For San Francisco Bay Area Cities & Towns	Berg, Peter; Magilavy, Beryl,  Zuckerman, Seth	BC9592-GreenCityProgram.jpg	1989
9593	Naming the Moment	Political Analysis for Action: A Manual for Community Groups	Barndt, Deborah,  Freire, Carolos	BC9593-NamingTheMoment.jpg	1989
9594	Rise Up Singing		Blood-Patterson, Peter	BC9594-Rise_Up_Singing.jpg	1990
9595	Peacemaking in Your Neighbourhood	Reflections on an Experiment in Community Mediation	Beer, Jennifer E.	BC9595-PeacemakingNeighb.jpg	1986
9596	Let's Play Together	Co-operative Games for All Ages	Masheder, Mildred	BC9596s-LetsPlayTogether.jpg	1989
9610	The Privatization Putsch		Hardin, Herschel	BC9610-ThePrivatizationP.jpg	1989
10080	Traces of Magma	An Annotated Bibliography of Left Literature	Knight, Rolf	BC10080-TracesMagma.jpg	1983
10291	Getting Organized	Building A Union	Cornish, Mary; Ritchie, Laurell	BL5733s-Organize.gif	1980
10346	War, Peace and the Media		Zwicker, Barrie	BC10346-WarPeace_n.jpg	1983
10398	The Oxford Companion to the English Language		McArthur, Tom (ed.)	BC10398-EnglishLanguage.jpg	1992
10400	Spirit of the Wolf	The Environment and Canada's Future: Volume 1	Davis, Jo	BC10400-SpiritOfTheWolf.jpg	1991
11091	Bowling Alone	The Collapse and Revival of American Community	Putnam, Robert D.	BC11091-BowlingAlone.jpg	2000
11150	Inventing Tax Rage (excerpt)	Misinformation in the National Post	Patriquin, Larry	BC11150-InventingTaxRagen.jpg	2004
11231	Working Class Experience	Rethinking the History of Canadian Labour, 1800-1991	Palmer, Bryan D.	BC1760-WorkingClass.jpg	1983
11240	The Communist Manifesto		Marx, Karl; Engels, Friedrich	BC16828-Manifesto.jpg	1848
11252	The Transitional Program: The Death Agony of Capitalism and the Tasks of the Fourth International		Trotsky, Leon	BC11252s-Trotsky-TransiationProgram.jpg	1938
11400	Slumming It At the Rodeo	The Cultural Roots of Canada's Right-Wing Revolution	Laird, Gordon	BC11400s-SlummingRodeo.jpg	1998
11402	The Struggle For Canadian Sport		Kidd, Bruce	BC11402-Kidd-CanadianSport.jpg	1996
11403	The Great Lakes		Berton, Pierre	BL0973-PierreBerton.jpg	1996
11444	Circles of Strength	Community Alternatives to Alienation	Forsey, Helen (ed.)	BC11444-CirclesofStrength.jpg	1993
11450	Rethinking Camelot	JFK, the Vietnam War, and US Political Culture	Chomsky, Noam	BC11450-RethinkingCamelot.jpg	1993
11465	Year 501	The Conquest Continues	Chomsky, Noam	BC11465-Year501.jpg	1993
11479	The Dying of the Light		Dibdin, Michael	BC11479s-DyingofLight.jpg	1993
11530	No Right-Of-Way		Lewington, Peter	BC11530s-NoRightofWay.jpg	1992
11548	Free Speech For Me - But Not For Thee	How the American Left and Right Relentlessly Censor Each Other	Hentoff, Nat	BC11548-HentoffFreeSpeech.jpg	1992
11669	The Oxford Dictionary of Synonyms and Antonyms		Spooner, Alan (Editor)	BC11669-Synonyms.jpg	1999
11765	Black Ink and the New Red Power	Native American Newspapers and Tribal Sovereinty Journalism Communication Monographs	Mella, Kelly; Loew, Patty	BC11765-BlackInkn.jpg	2005
11772	The Ursula Franklin Reader	Pacifism as a Map	Franklin, Ursula; Swenarchuk, Michelle	BC11772s-FranklinReader.jpg	2006
11776	The Aeneid		Virgil	BC11776s-Aeneid.jpg	2006
11809	What is Class Consciousness?		Reich, Wilhelm	BC11809-WhatIsClassCons.jpg	1934
11811	Mao as a Dialectician		Glaberman, Martin	BL0960-MartinGlaberman.jpg	1968
11812	Listen, Marxist!		Bookchin, Murray	BC11812s-ListenMarxist.jpg	1969
11884	The God Delusion		Dawkins, Richard	BC11884-GodDelusion.jpg	2006
11889	My Disillusionment in Russia		Goldman, Emma	BL0937-EmmaGoldman.jpg	1925
11908	Real Time 2	A catalog of ideas and information	Rosenfeld, Edward; Brockman, John	BC11908s-RealTime.jpg	1973
